Time	Channel 1 (mV)	Channel 2 (mV)	Channel 3 (mV)	Channel 4 (mV)	Channel 5 (mV)	Channel 6 (mV)	Channel 7 (mV)	Channel 8 (mV)	Channel 1_cal (µmol/L)	Channel 2_cal (µmol/L)	Channel 3_cal ()	Channel 4_cal ()	Channel 5_cal ()	Channel 6_cal ()	Channel 7_cal ()	Channel 8_cal ()	Motor 1 (mm)	Motor 2 (mm)	GroupId
29072023 224032.391	229.36	208.64	n/a	n/a	n/a	n/a	n/a	n/a	2.90	2.38	n/a	n/a	n/a	n/a	n/a	n/a	11.993	-9.942	1
29072023 224053.793	203.70	183.31	n/a	n/a	n/a	n/a	n/a	n/a	2.57	2.08	n/a	n/a	n/a	n/a	n/a	n/a	13.991	-9.942	1
29072023 224115.169	171.51	105.11	n/a	n/a	n/a	n/a	n/a	n/a	2.16	1.17	n/a	n/a	n/a	n/a	n/a	n/a	15.990	-9.942	1
29072023 224136.570	108.38	72.39	n/a	n/a	n/a	n/a	n/a	n/a	1.36	0.79	n/a	n/a	n/a	n/a	n/a	n/a	17.989	-9.942	1
29072023 224157.972	73.97	56.64	n/a	n/a	n/a	n/a	n/a	n/a	0.92	0.60	n/a	n/a	n/a	n/a	n/a	n/a	19.988	-9.942	1
29072023 224219.271	72.04	53.44	n/a	n/a	n/a	n/a	n/a	n/a	0.90	0.57	n/a	n/a	n/a	n/a	n/a	n/a	21.986	-9.942	1
29072023 224240.493	47.28	44.49	n/a	n/a	n/a	n/a	n/a	n/a	0.58	0.46	n/a	n/a	n/a	n/a	n/a	n/a	23.985	-9.942	1
29072023 224301.588	51.72	54.66	n/a	n/a	n/a	n/a	n/a	n/a	0.64	0.58	n/a	n/a	n/a	n/a	n/a	n/a	25.984	-9.942	1
29072023 224322.784	56.63	53.11	n/a	n/a	n/a	n/a	n/a	n/a	0.70	0.56	n/a	n/a	n/a	n/a	n/a	n/a	27.983	-9.942	1
29072023 224343.879	54.69	53.81	n/a	n/a	n/a	n/a	n/a	n/a	0.68	0.57	n/a	n/a	n/a	n/a	n/a	n/a	29.981	-9.942	1
29072023 224405.075	65.96	55.19	n/a	n/a	n/a	n/a	n/a	n/a	0.82	0.59	n/a	n/a	n/a	n/a	n/a	n/a	31.980	-9.942	1
29072023 224426.477	62.17	52.93	n/a	n/a	n/a	n/a	n/a	n/a	0.77	0.56	n/a	n/a	n/a	n/a	n/a	n/a	33.979	-9.942	1
29072023 224447.878	58.30	43.20	n/a	n/a	n/a	n/a	n/a	n/a	0.72	0.45	n/a	n/a	n/a	n/a	n/a	n/a	35.978	-9.942	1
29072023 224509.177	40.81	24.91	n/a	n/a	n/a	n/a	n/a	n/a	0.50	0.23	n/a	n/a	n/a	n/a	n/a	n/a	37.976	-9.942	1
29072023 224530.374	47.16	4.13	n/a	n/a	n/a	n/a	n/a	n/a	0.58	-0.01	n/a	n/a	n/a	n/a	n/a	n/a	39.975	-9.942	1
29072023 224551.469	54.95	23.30	n/a	n/a	n/a	n/a	n/a	n/a	0.68	0.22	n/a	n/a	n/a	n/a	n/a	n/a	41.974	-9.942	1
29072023 224612.691	60.37	44.63	n/a	n/a	n/a	n/a	n/a	n/a	0.75	0.46	n/a	n/a	n/a	n/a	n/a	n/a	43.973	-9.942	1
29072023 224633.785	66.18	46.00	n/a	n/a	n/a	n/a	n/a	n/a	0.82	0.48	n/a	n/a	n/a	n/a	n/a	n/a	45.972	-9.942	1
29072023 224654.982	66.39	44.07	n/a	n/a	n/a	n/a	n/a	n/a	0.82	0.46	n/a	n/a	n/a	n/a	n/a	n/a	47.970	-9.942	1
29072023 224716.076	55.04	40.59	n/a	n/a	n/a	n/a	n/a	n/a	0.68	0.42	n/a	n/a	n/a	n/a	n/a	n/a	49.969	-9.942	1
29072023 230949.776	578.44	619.67	n/a	n/a	n/a	n/a	n/a	n/a	7.35	7.18	n/a	n/a	n/a	n/a	n/a	n/a	0.000	-9.942	1
29072023 231010.972	339.22	337.60	n/a	n/a	n/a	n/a	n/a	n/a	4.30	3.88	n/a	n/a	n/a	n/a	n/a	n/a	1.999	-9.942	1
29072023 231032.169	322.90	303.51	n/a	n/a	n/a	n/a	n/a	n/a	4.09	3.49	n/a	n/a	n/a	n/a	n/a	n/a	3.998	-9.942	1
29072023 231053.289	325.29	300.80	n/a	n/a	n/a	n/a	n/a	n/a	4.12	3.45	n/a	n/a	n/a	n/a	n/a	n/a	5.996	-9.942	1
29072023 231114.486	306.73	232.20	n/a	n/a	n/a	n/a	n/a	n/a	3.89	2.65	n/a	n/a	n/a	n/a	n/a	n/a	7.995	-9.942	1
29072023 231135.888	257.60	249.66	n/a	n/a	n/a	n/a	n/a	n/a	3.26	2.86	n/a	n/a	n/a	n/a	n/a	n/a	9.994	-9.942	1
29072023 231157.289	220.98	239.14	n/a	n/a	n/a	n/a	n/a	n/a	2.79	2.73	n/a	n/a	n/a	n/a	n/a	n/a	11.993	-9.942	1
29072023 231218.665	229.62	176.21	n/a	n/a	n/a	n/a	n/a	n/a	2.90	2.00	n/a	n/a	n/a	n/a	n/a	n/a	13.991	-9.942	1
29072023 231240.067	141.63	138.98	n/a	n/a	n/a	n/a	n/a	n/a	1.78	1.57	n/a	n/a	n/a	n/a	n/a	n/a	15.990	-9.942	1
29072023 231301.468	129.64	140.33	n/a	n/a	n/a	n/a	n/a	n/a	1.63	1.58	n/a	n/a	n/a	n/a	n/a	n/a	17.989	-9.942	1
29072023 231322.870	123.21	113.56	n/a	n/a	n/a	n/a	n/a	n/a	1.55	1.27	n/a	n/a	n/a	n/a	n/a	n/a	19.988	-9.942	1
29072023 231344.169	92.39	98.07	n/a	n/a	n/a	n/a	n/a	n/a	1.16	1.09	n/a	n/a	n/a	n/a	n/a	n/a	21.986	-9.942	1
29072023 231405.366	115.87	98.20	n/a	n/a	n/a	n/a	n/a	n/a	1.45	1.09	n/a	n/a	n/a	n/a	n/a	n/a	23.985	-9.942	1
