Time	Channel 1 (mV)	Channel 2 (mV)	Channel 3 (mV)	Channel 4 (mV)	Channel 5 (mV)	Channel 6 (mV)	Channel 7 (mV)	Channel 8 (mV)	Channel 1_cal (µmol/L)	Channel 2_cal (µmol/L)	Channel 3_cal ()	Channel 4_cal ()	Channel 5_cal ()	Channel 6_cal ()	Channel 7_cal ()	Channel 8_cal ()	Motor 1 (mm)	Motor 2 (mm)	GroupId
29072023 151819.768	73.93	89.26	n/a	n/a	n/a	n/a	n/a	n/a	0.92	0.99	n/a	n/a	n/a	n/a	n/a	n/a	39.975	-10.000	1
29072023 151840.888	68.94	89.28	n/a	n/a	n/a	n/a	n/a	n/a	0.86	0.99	n/a	n/a	n/a	n/a	n/a	n/a	41.974	-10.000	1
29072023 151902.085	72.72	61.33	n/a	n/a	n/a	n/a	n/a	n/a	0.90	0.66	n/a	n/a	n/a	n/a	n/a	n/a	43.973	-10.000	1
29072023 151923.486	71.18	71.37	n/a	n/a	n/a	n/a	n/a	n/a	0.89	0.78	n/a	n/a	n/a	n/a	n/a	n/a	45.972	-10.000	1
29072023 151944.888	74.48	65.77	n/a	n/a	n/a	n/a	n/a	n/a	0.93	0.71	n/a	n/a	n/a	n/a	n/a	n/a	47.970	-10.000	1
29072023 152006.289	70.06	70.68	n/a	n/a	n/a	n/a	n/a	n/a	0.87	0.77	n/a	n/a	n/a	n/a	n/a	n/a	49.969	-10.000	1
29072023 161128.161	847.09	853.60	n/a	n/a	n/a	n/a	n/a	n/a	10.77	9.91	n/a	n/a	n/a	n/a	n/a	n/a	0.000	-10.000	1
29072023 161149.358	811.91	826.58	n/a	n/a	n/a	n/a	n/a	n/a	10.32	9.59	n/a	n/a	n/a	n/a	n/a	n/a	1.999	-10.000	1
29072023 161210.554	483.64	305.25	n/a	n/a	n/a	n/a	n/a	n/a	6.14	3.51	n/a	n/a	n/a	n/a	n/a	n/a	3.998	-10.000	1
29072023 161231.674	275.09	257.06	n/a	n/a	n/a	n/a	n/a	n/a	3.48	2.94	n/a	n/a	n/a	n/a	n/a	n/a	5.996	-10.000	1
29072023 161252.871	295.74	320.58	n/a	n/a	n/a	n/a	n/a	n/a	3.75	3.69	n/a	n/a	n/a	n/a	n/a	n/a	7.995	-10.000	1
29072023 161314.170	353.74	323.17	n/a	n/a	n/a	n/a	n/a	n/a	4.48	3.72	n/a	n/a	n/a	n/a	n/a	n/a	9.994	-10.000	1
29072023 161335.367	327.18	314.27	n/a	n/a	n/a	n/a	n/a	n/a	4.15	3.61	n/a	n/a	n/a	n/a	n/a	n/a	11.993	-10.000	1
29072023 161356.461	319.89	287.42	n/a	n/a	n/a	n/a	n/a	n/a	4.05	3.30	n/a	n/a	n/a	n/a	n/a	n/a	13.991	-10.000	1
29072023 161417.658	312.10	266.98	n/a	n/a	n/a	n/a	n/a	n/a	3.95	3.06	n/a	n/a	n/a	n/a	n/a	n/a	15.990	-10.000	1
29072023 161438.778	302.08	246.07	n/a	n/a	n/a	n/a	n/a	n/a	3.83	2.82	n/a	n/a	n/a	n/a	n/a	n/a	17.989	-10.000	1
29072023 161459.974	241.06	189.00	n/a	n/a	n/a	n/a	n/a	n/a	3.05	2.15	n/a	n/a	n/a	n/a	n/a	n/a	19.988	-10.000	1
29072023 161521.069	216.99	120.77	n/a	n/a	n/a	n/a	n/a	n/a	2.74	1.35	n/a	n/a	n/a	n/a	n/a	n/a	21.986	-10.000	1
29072023 161542.265	150.84	101.66	n/a	n/a	n/a	n/a	n/a	n/a	1.90	1.13	n/a	n/a	n/a	n/a	n/a	n/a	23.985	-10.000	1
29072023 161603.667	111.92	103.00	n/a	n/a	n/a	n/a	n/a	n/a	1.40	1.15	n/a	n/a	n/a	n/a	n/a	n/a	25.984	-10.000	1
29072023 161624.966	86.83	94.81	n/a	n/a	n/a	n/a	n/a	n/a	1.08	1.05	n/a	n/a	n/a	n/a	n/a	n/a	27.983	-10.000	1
29072023 161646.163	104.55	80.59	n/a	n/a	n/a	n/a	n/a	n/a	1.31	0.88	n/a	n/a	n/a	n/a	n/a	n/a	29.981	-10.000	1
29072023 161707.257	89.67	74.84	n/a	n/a	n/a	n/a	n/a	n/a	1.12	0.82	n/a	n/a	n/a	n/a	n/a	n/a	31.980	-10.000	1
29072023 161728.454	88.82	68.55	n/a	n/a	n/a	n/a	n/a	n/a	1.11	0.74	n/a	n/a	n/a	n/a	n/a	n/a	33.979	-10.000	1
29072023 161749.574	88.90	92.44	n/a	n/a	n/a	n/a	n/a	n/a	1.11	1.02	n/a	n/a	n/a	n/a	n/a	n/a	35.978	-10.000	1
29072023 161810.770	91.33	104.00	n/a	n/a	n/a	n/a	n/a	n/a	1.14	1.16	n/a	n/a	n/a	n/a	n/a	n/a	37.976	-10.000	1
29072023 161831.864	93.21	125.93	n/a	n/a	n/a	n/a	n/a	n/a	1.17	1.41	n/a	n/a	n/a	n/a	n/a	n/a	39.975	-10.000	1
29072023 161853.061	87.59	127.00	n/a	n/a	n/a	n/a	n/a	n/a	1.09	1.43	n/a	n/a	n/a	n/a	n/a	n/a	41.974	-10.000	1
29072023 161914.155	91.39	91.77	n/a	n/a	n/a	n/a	n/a	n/a	1.14	1.01	n/a	n/a	n/a	n/a	n/a	n/a	43.973	-10.000	1
29072023 161935.352	88.38	89.44	n/a	n/a	n/a	n/a	n/a	n/a	1.10	0.99	n/a	n/a	n/a	n/a	n/a	n/a	45.972	-10.000	1
29072023 161956.472	92.42	93.71	n/a	n/a	n/a	n/a	n/a	n/a	1.16	1.04	n/a	n/a	n/a	n/a	n/a	n/a	47.970	-10.000	1
29072023 162017.566	82.87	89.77	n/a	n/a	n/a	n/a	n/a	n/a	1.03	0.99	n/a	n/a	n/a	n/a	n/a	n/a	49.969	-10.000	1
